station,latitude,longitude
"19th & G St NW	", 38.898331,-77.0456614
"Long Bridge Dr & 6th St S	", 38.8656534,-77.0519836
"Washington-Lee High School / N Stafford St & Generals Way	", 38.888282,-77.1132547
"Corporate Blvd & Omega Dr	", 39.1079449,-77.1958037
"Fallsgrove Dr & W Montgomery Ave	", 39.099893,-77.1871499
"S Joyce & Army Navy Dr	", 38.8658612,-77.0650442
"Clarendon Blvd & Pierce St	", 38.8934465,-77.0787759
"7th & E St SW	", 38.8832442,-77.0241663
"Lynn & 19th St North	", 38.8971125,-77.0730355
"Garland Ave & Walden Rd	", 39.00048,-77.0029587
"E Montgomery Ave & Maryland Ave	", 39.0840581,-77.1531167
"2nd St & Massachusetts Ave NE	", 38.8952128,-77.0057001
"N Veitch & Key Blvd	", 38.8933798,-77.0883098
"S Arlington Mill Dr & Campbell Ave	", 38.8421334,-77.091886
"Takoma Metro	", 38.9756131,-77.020096
"Yuma St & Tenley Circle NW	", 38.9462929,-77.0806173
"4th & M St SW	", 38.8765178,-77.01982
"3rd & D St SE	", 38.8765178,-77.019829
"15th St & Constitution Ave NW	", 38.8921024,-77.0358311
"Potomac & Swann Ave	", 38.8296428,-77.0502688
"Fleet St & Ritchie Pkwy	", 39.076251,-77.1434237
"East West Hwy & 16th St	", 38.994597,-77.0383868
"North Capitol St & F St NW	", 38.8973304,-77.0112911
"21st & M St NW	", 38.9054748,-77.0487947
"22nd & I St NW / Foggy Bottom	", 38.9007023,-77.0510218
"White Flint Metro	", 39.0475686,-77.1148385
"Taft St & E Gude Dr	", 39.0941936,-77.1347844
"Utah St & 11th St N 	", 38.883746,-77.1161117
"Philadelphia & Maple Ave	", 38.9810389,-77.0147788
"Fenton St & New York Ave 	", 38.9857379,-77.0251064
"Rosedale Rec Center / 17th & Gales St NE	", 38.898112,-76.9818587
"4th & M St SE	", 38.8764374,-77.0027366
"24th & R St NE / National Arboretum	", 38.912594,-76.9743517
"Bethesda Metro	", 38.9841959,-77.0962927
"17th & G St NW	", 38.8983186,-77.0416501
"11th & F St NW	", 38.8973435,-77.0292353
"Washington Blvd & 10th St N	", 38.8845231,-77.0952558
"Piccard & W Gude Dr	", 39.1019093,-77.1793627
"15th & P St NW	", 38.9096682,-77.0367475
"12th & L St NW	", 38.9037322,-77.0302767
"Wilson Blvd & N Edgewood St	", 38.8891987,-77.0939852
"Braddock Rd Metro	", 38.8140201,-77.0559649
"Gravelly Point	", 38.8648336,-77.0467871
"Lee Hwy & N Cleveland St	", 38.894862,-77.0934427
"Oxon Hill Park & Ride	", 38.7992099,-77.0034879
"14th & Irving St NW	", 38.9287772,-77.0348393
"2nd St & Seaton Pl NE	", 38.9148253,-77.0057045
"8th & O St NW	", 38.9091848,-77.0254519
"48th Pl & MacArthur Blvd NW	", 38.917487,-77.0988039
"Veterans Pl & Pershing Dr 	", 38.9974471,-77.0258868
"Connecticut Ave & Chevy Chase Lake Dr	", 38.9939023,-77.0794418
"4th St & Mississippi Ave SE	", 38.836292,-77.0029491
"1st & O St NW	", 38.908569,-77.0143527
"Shady Grove Metro West	", 39.1197241,-77.1673646
"31st & Woodrow St S	", 38.8375425,-77.0971688
"1st & S Capitol St SE / Oxon Run Trail	", 38.824091,-77.0081907
"5th & F St NW	", 38.897337,-77.0211177
"12th & U St NW	", 38.9170019,-77.0302778
"15th & Euclid St  NW	", 38.9233883,-77.0375096
"Amherst Ave & Elkins St	", 39.044928,-77.0501817
"12th & Army Navy Dr	", 38.8629241,-77.0540313
"USDA / 12th & Independence Ave SW	", 38.8875674,-77.0305282
"14th & Upshur St NW	", 38.941867,-77.0349131
"Jones Branch & Westbranch Dr	", 38.9314167,-77.2228309
"C & O Canal & Wisconsin Ave NW	", 38.9322202,-77.0747853
"14th & Girard St NW	", 38.925502,-77.0345047
"Town Center Pkwy & Bowman Towne Dr	", 38.962257,-77.3643692
"Good Hope Rd & 14th St SE	", 38.866775,-76.9873167
"Pooks Hill Rd & Linden Ave	", 39.0143372,-77.1083257
"Florida Ave & R St NW	", 38.9126039,-77.0154785
"Convention Center / 7th & M St NW	", 38.9056431,-77.0241205
"Georgia Ave and Fairmont St NW	", 38.924806,-77.0248007
"11th & M St NW	",38.905637,-77.0292297
"1st & H St NW	", 38.900256,-77.0143549
"Virginia Ave & 25th St NW	", 38.899274,-77.053988
"North Shore & Cameron Crescent Dr/Crescent Apartments	", 38.9693593,-77.3409672
"Needwood Rd & Eagles Head Ct	", 39.1234619,-77.1594987
"Town Center Pkwy & Sunset Hills Rd	", 38.9539481,-77.3650691
"John McCormack Dr & Michigan Ave NE	", 38.9335106,-76.9975224
"Washington Blvd & N Frederick St	", 38.8848791,-77.1301542
"Largo Town Center Metro	", 38.9003445,-76.8469402
"Reston YMCA	", 38.9558575,-77.3705258
"14th & R St NW	", 38.9126061,-77.0341381
"Madison & N Henry St	", 38.8135772,-77.0518542
"Anacostia Ave & Benning Rd NE / River Terrace 	", 38.8970035,-76.9625088
"Fishers Ln & Rock Creek Mill Rd	", 39.0628057,-77.114961
"8th & H St NW	", 38.899814,-77.0251367
"Metro Center / 12th & G St NW	", 38.8983158,-77.0302529
"N Pershing Dr & Wayne St	", 38.8807167,-77.0878789
"S Four Mile Run Dr & S Shirlington Rd	", 38.8443249,-77.0876995
"22nd & H St NW	", 38.8995813,-77.0510245
"Norfolk Ave & Fairmont St	", 38.988562,-77.0987277
"3rd & M St NE	", 38.905645,-77.0042253
"15th & M St NW	", 38.9056496,-77.036756
"18th St & Pennsylvania Ave NW	", 38.899316,-77.0438217
"Reston Town Center Transit Station	", 38.9570383,-77.3610718
"Anacostia Park	", 38.8657591,-76.9969725
"4th & C St SW	", 38.8860487,-77.0197276
"3rd St & Riggs Rd NE	", 38.9568767,-77.0044436
"11th & Park Rd NW	", 38.9232988,-77.0363988
"Rhode Island Ave Metro	", 38.920918,-76.9981297
"Friendship Hts Metro/Wisconsin Ave & Wisconsin Cir	", 38.9619032,-77.0885177
"21st St & Constitution Ave NW	", 38.8921101,-77.0488666
"Georgia Ave & Spring St	", 38.9995586,-77.0340216
"Columbia Pike & S Walter Reed Dr	", 38.862559,-77.0892432
"Key West Ave & Diamondback Dr	", 39.1050262,-77.2035507
"Tysons West Transit Center	", 38.9327032,-77.2339637
"14th St Heights / 14th & Crittenden St NW	", 38.9471917,-77.0349087
"Woodley Park Metro / Calvert St & Connecticut Ave NW	", 38.9235388,-77.0537147
"Clarendon Metro / Wilson Blvd & N Highland St	", 38.8874518,-77.0971833
"Deanwood Rec Center	", 38.9078657,-76.9350734
"L'Enfant Plaza / 7th & C St SW	", 38.8863293,-77.0240953
"Roosevelt Island	", 38.8950877,-77.0672492
"Sunset Hills Rd & Isaac Newton Square	", 38.9512299,-77.3423486
"Crystal City Metro / 18th & Bell St	", 38.8575903,-77.0532896
"39th & Calvert St NW / Stoddert	", 38.9225505,-77.0792326
"37th & O St NW / Georgetown University	", 38.9225505,-77.0792326
"Columbia Pike & S Courthouse Rd	", 38.8642729,-77.0825241
"Franklin & S Washington St	", 38.7981876,-77.0506182
"Fairfax Village	", 38.8634617,-76.9607328
